fecha;uva;
13/10/2017;20,2800;
14/10/2017;20,2900;
15/10/2017;20,2900;
16/10/2017;20,2900;
17/10/2017;20,3200;
18/10/2017;20,3300;
19/10/2017;20,3500;
20/10/2017;20,3600;
21/10/2017;20,3700;
22/10/2017;20,3700;
23/10/2017;20,3700;
24/10/2017;20,4100;
25/10/2017;20,4200;
26/10/2017;20,4400;
27/10/2017;20,4500;
28/10/2017;20,4600;
29/10/2017;20,4600;
30/10/2017;20,4600;
31/10/2017;20,5000;
01/11/2017;20,5100;
02/11/2017;20,5200;
03/11/2017;20,5400;
04/11/2017;20,5500;
05/11/2017;20,5500;
06/11/2017;20,5500;
07/11/2017;20,5500;
08/11/2017;20,6000;
09/11/2017;20,6100;
10/11/2017;20,6200;
11/11/2017;20,6400;
12/11/2017;20,6400;
13/11/2017;20,6400;
14/11/2017;20,6800;
15/11/2017;20,6900;
16/11/2017;20,7000;
17/11/2017;20,7100;
18/11/2017;20,7200;
19/11/2017;20,7200;
20/11/2017;20,7200;
21/11/2017;20,7200;
22/11/2017;20,7600;
23/11/2017;20,7700;
24/11/2017;20,7900;
25/11/2017;20,8000;
26/11/2017;20,8000;
27/11/2017;20,8000;
28/11/2017;20,8300;
29/11/2017;20,8400;
30/11/2017;20,8500;
01/12/2017;20,8600;
02/12/2017;20,8700;
03/12/2017;20,8700;
04/12/2017;20,8700;
05/12/2017;20,9000;
06/12/2017;20,9100;
07/12/2017;20,9200;
08/12/2017;20,9300;
09/12/2017;20,9300;
10/12/2017;20,9300;
11/12/2017;20,9300;
12/12/2017;20,9800;
13/12/2017;20,9900;
14/12/2017;21,0000;
15/12/2017;21,0100;
16/12/2017;21,0200;
17/12/2017;21,0200;
18/12/2017;21,0200;
19/12/2017;21,0500;
20/12/2017;21,0600;
21/12/2017;21,0700;
22/12/2017;21,0800;
23/12/2017;21,0900;
24/12/2017;21,0900;
25/12/2017;21,0900;
26/12/2017;21,0900;
27/12/2017;21,1200;
28/12/2017;21,1300;
29/12/2017;21,1400;
30/12/2017;21,1500;
31/12/2017;21,1500;
01/01/2018;21,1500;
02/01/2018;21,1500;
03/01/2018;21,1900;
04/01/2018;21,2000;
05/01/2018;21,2100;
06/01/2018;21,2200;
07/01/2018;21,2200;
08/01/2018;21,2200;
09/01/2018;21,2500;
10/01/2018;21,2600;
11/01/2018;21,2700;
12/01/2018;21,2800;
13/01/2018;21,2900;
14/01/2018;21,2900;
15/01/2018;21,2900;
16/01/2018;21,3200;
17/01/2018;21,3400;
18/01/2018;21,3600;
19/01/2018;21,3800;
20/01/2018;21,4000;
21/01/2018;21,4000;
22/01/2018;21,4000;
23/01/2018;21,4700;
24/01/2018;21,4900;
25/01/2018;21,5100;
26/01/2018;21,5300;
27/01/2018;21,5500;
28/01/2018;21,5500;
29/01/2018;21,5500;
30/01/2018;21,6200;
31/01/2018;21,6400;
01/02/2018;21,6600;
02/02/2018;21,6800;
03/02/2018;21,7000;
04/02/2018;21,7000;
05/02/2018;21,7000;
06/02/2018;21,7700;
07/02/2018;21,7900;
08/02/2018;21,8100;
09/02/2018;21,8300;
10/02/2018;21,8500;
11/02/2018;21,8500;
12/02/2018;21,8500;
13/02/2018;21,8500;
14/02/2018;21,8500;
15/02/2018;21,9600;
16/02/2018;21,9800;
17/02/2018;21,9900;
18/02/2018;21,9900;
19/02/2018;21,9900;
20/02/2018;22,0400;
21/02/2018;22,0500;
22/02/2018;22,0700;
23/02/2018;22,0800;
24/02/2018;22,0900;
